repo_full_name,clone_url,primary_language,architecture,chosen_tactic,python_files,size_bin,avg_fan_out,mi_before,mi_after,delta_mi,pct_change,outcome,pipeline_status,num_steps_applied,num_tests_run,num_new_python_files,new_files_with_mi,common_files_changed,has_syntax_error_in_new_files,syntax_error_files
kodekloudhub/webapp-color,https://github.com/kodekloudhub/webapp-color.git,Python,script_based,Decomposability,1,tiny (<10),5.0,69.2685,91.2478,21.9793,31.731,improved,applied,9,10,2,color.py=100.0; config.py=100.0,app.py:69.3->73.7,False,
AutoLab-SAI-SJTU/Paper2Rebuttal,https://github.com/AutoLab-SAI-SJTU/Paper2Rebuttal.git,Python,modular_monolith,Localized Modification,5,tiny (<10),12.6,19.3984,37.5395,18.1411,93.519,improved,applied,7,8,3,arxiv_client.py=34.8; llm_orchestrator.py=50.1; pdf_converter.py=61.6,rebuttal_service.py:0.0->55.6; tools.py:36.8->38.0,False,
paulafredo/spam-api-free-fire,https://github.com/paulafredo/spam-api-free-fire.git,Python,script_based,Decomposability,4,tiny (<10),5.0,67.1961,76.5965,9.4004,13.989,improved,applied,10,11,1,crypto.py=100.0,app.py:44.5->58.7,False,
McCloudS/subgen,https://github.com/McCloudS/subgen.git,Python,script_based,Decomposability,13,small (10-30),6.615,55.2931,63.2266,7.9335,14.348,improved,applied,9,10,1,environment.py=66.4,subgen.py:0.0->100.0,False,
HKUDS/FastCode,https://github.com/HKUDS/FastCode.git,Python,layered,Decomposability,81,large (80+),6.099,58.3778,60.4868,2.1089,3.613,improved,applied,7,8,2,call_graph_builder.py=52.6; retriever_coordinator.py=100.0,main.py:4.9->77.0; retriever.py:11.3->78.4,False,
toledomauricio/fastapi-whisper-ollama,https://github.com/toledomauricio/fastapi-whisper-ollama.git,Python,modular_monolith,Decomposability,8,tiny (<10),2.0,87.5927,88.9519,1.3593,1.552,improved,applied,10,11,1,strategies.py=100.0,service.py:55.9->55.7,False,
Doriandarko/claude-engineer,https://github.com/Doriandarko/claude-engineer.git,Python,modular_monolith,Localized Modification,21,small (10-30),6.19,61.5945,62.8981,1.3036,2.116,improved,applied,10,11,2,ce3_tool_executor.py=60.5; file_operation.py=49.0,ce3.py:34.4->78.1,False,
ccxt/binance-trade-bot,https://github.com/ccxt/binance-trade-bot.git,Python,layered,Localized Modification,26,small (10-30),4.962,68.8456,69.7533,0.9078,1.319,improved,applied,10,11,1,scout_engine.py=69.4,auto_trader.py:52.6->54.7; database.py:40.2->42.0; default_strategy.py:73.5->70.9; multiple_coins_strategy.py:78.3->100.0,True,"pruner.py(unmatched '}' (<unknown>, line 79))"
suzuran0y/CCTV-Smartphone-AI-Monitoring,https://github.com/suzuran0y/CCTV-Smartphone-AI-Monitoring.git,Python,modular_monolith,Localized Modification,24,small (10-30),3.333,73.4685,74.232,0.7635,1.039,improved,applied,7,8,0,,ai_monitor_worker.py:44.0->62.3,True,"ai_event_controller.py(unmatched '}' (<unknown>, line 267))"
via007/bilibili-rag,https://github.com/via007/bilibili-rag.git,Python,layered,Reduced Coupling,22,small (10-30),5.909,58.1124,58.7719,0.6595,1.135,improved,applied,3,4,1,session.py=72.6,auth.py:62.9->63.6,False,
